Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Bad Boys for Life,"$424,617,855","$204,417,855",48.1%,"$220,200,000",51.9%
2,The Eight Hundred,"$336,404,741","$188,258",<0.1%,"$336,216,483",99.9%
3,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
4,Dolittle,"$246,376,719","$77,047,065",31.3%,"$169,329,654",68.7%
5,Harley Quinn: Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
6,Tenet,"$152,300,000","$20,200,000",13.3%,"$132,100,000",86.7%
7,Onward,"$134,905,978","$61,555,145",45.6%,"$73,350,833",54.4%
8,The Invisible Man,"$130,877,645","$64,914,050",49.6%,"$65,963,595",50.4%
9,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
10,Fantasy Island,"$47,341,051","$26,441,782",55.9%,"$20,899,269",44.1%
11,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
12,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
13,Peninsula,"$33,521,488","$869,190",2.6%,"$32,652,298",97.4%
14,Bloodshot,"$30,859,498","$10,021,787",32.5%,"$20,837,711",67.5%
15,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
16,Emma.,"$25,628,721","$10,055,355",39.2%,"$15,573,366",60.8%
17,Unhinged,"$24,166,175","$12,166,175",50.3%,"$12,000,000",49.7%
18,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
19,The New Mutants,"$21,514,347","$12,986,216",60.4%,"$8,528,131",39.6%
20,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
21,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
22,Scoob!,"$19,600,000",-,-,"$19,600,000",100%
23,The Turning,"$18,596,338","$15,472,775",83.2%,"$3,123,563",16.8%
24,Baaghi 3,"$16,724,862","$721,439",4.3%,"$16,003,423",95.7%
25,Trolls World Tour,"$15,060,411",-,-,"$15,060,411",100%
26,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
27,I Still Believe,"$14,268,786","$9,868,521",69.2%,"$4,400,265",30.8%
28,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$13,369,307",-,-,"$13,369,307",100%
29,Greenland,"$11,500,000",-,-,"$11,500,000",100%
30,The Personal History of David Copperfield,"$11,362,978","$1,171,102",10.3%,"$10,191,876",89.7%
31,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
32,The Hunt,"$10,650,431","$5,812,500",54.6%,"$4,837,931",45.4%
33,My Spy,"$10,200,000",-,-,"$10,200,000",100%
34,After We Collided,"$10,200,000",-,-,"$10,200,000",100%
35,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
36,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
37,Malang,"$8,396,547",-,-,"$8,396,547",100%
38,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,132",-,-,"$7,673,132",100%
39,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
40,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
41,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
42,Mulan,"$5,900,000",-,-,"$5,900,000",100%
43,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
44,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
45,Military Wives,"$4,172,000",-,-,"$4,172,000",100%
46,Digimon Adventure: Last Evolution Kizuna,"$3,966,107",-,-,"$3,966,107",100%
47,The Wretched,"$3,803,045","$1,814,193",47.7%,"$1,988,852",52.3%
48,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
49,The SpongeBob Movie: Sponge on the Run,"$3,314,145","$3,314,145",100%,-,-
50,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
51,Samsam,"$3,232,467",-,-,"$3,232,467",100%
52,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
53,The Rental,"$2,702,443","$1,594,503",59%,"$1,107,940",41%
54,Bill & Ted Face the Music,"$2,659,436","$2,464,509",92.7%,"$194,927",7.3%
55,The King of Staten Island,"$2,067,195",-,-,"$2,067,195",100%
56,No Escape,"$1,928,258",-,-,"$1,928,258",100%
57,Jurassic Park 2020 Re-release,"$1,896,410","$1,386,600",73.1%,"$509,810",26.9%
58,The Secret: Dare to Dream,"$1,892,761",-,-,"$1,892,761",100%
59,Ava,"$1,740,263",-,-,"$1,740,263",100%
60,The High Note,"$1,622,767",-,-,"$1,622,767",100%
61,Words on Bathroom Walls,"$1,613,718","$1,613,718",100%,-,-
62,Greed,"$1,460,431","$355,308",24.3%,"$1,105,123",75.7%
63,Made in Italy,"$1,443,515","$97,813",6.8%,"$1,345,702",93.2%
64,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,368,152","$198,352",14.5%,"$1,169,800",85.5%
65,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$1,368,047","$1,015,000",74.2%,"$353,047",25.8%
66,Sarileru Neekevvaru,"$1,366,335","$821,000",60.1%,"$545,335",39.9%
67,The Assistant,"$1,308,864","$1,100,313",84.1%,"$208,551",15.9%
68,Relic,"$1,281,489","$1,047,047",81.7%,"$234,442",18.3%
69,The Goonies 2020 Re-release,"$1,235,951","$825,000",66.8%,"$410,951",33.2%
70,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
71,The Outpost,"$1,055,372",-,-,"$1,055,372",100%
72,The Perfect Candidate,"$1,040,511",-,-,"$1,040,511",100%
73,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
74,Becky,"$1,021,610","$1,003,700",98.2%,"$17,910",1.8%
75,The Tax Collector,"$942,666","$942,666",100%,-,-
76,Riverdance 25th Anniversary Show,"$919,732","$81,879",8.9%,"$837,853",91.1%
77,Mafia Inc,"$889,863","$889,863",100%,-,-
78,Misbehaviour,"$801,131",-,-,"$801,131",100%
79,Jaws 2020 Re-release,"$758,367","$758,300",100%,$67,<0.1%
80,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
81,Cut Throat City,"$633,555","$633,017",99.9%,$538,<0.1%
82,Black Water: Abyss,"$622,706",-,-,"$622,706",100%
83,Babyteeth,"$621,902","$4,507",0.7%,"$617,395",99.3%
84,Ghostbusters 2020 Re-release,"$620,883","$605,000",97.4%,"$15,883",2.6%
85,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
86,Beauty and the Beast 2020 Re-release,"$543,260","$467,000",86%,"$76,260",14%
87,Followed,"$538,179","$538,179",100%,-,-
88,Once Were Brothers: Robbie Robertson and the Band,"$534,292","$449,561",84.1%,"$84,731",15.9%
89,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
90,The Burnt Orange Heresy,"$495,657","$141,301",28.5%,"$354,356",71.5%
91,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
92,Hope Gap,"$464,929","$104,732",22.5%,"$360,197",77.5%
93,Inside Out 2020 Re-release,"$460,176","$460,000",100%,$176,<0.1%
94,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
95,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
96,Infamous,"$429,148","$429,148",100%,-,-
97,The Climb,"$413,161",-,-,"$413,161",100%
98,Back to the Future 2020 Re-release,"$406,408","$247,000",60.8%,"$159,408",39.2%
99,Palm Springs,"$377,056","$164,000",43.5%,"$213,056",56.5%
100,Burden,"$327,838","$139,270",42.5%,"$188,568",57.5%
101,Bohemian Rhapsody 2020 Re-release,"$307,020","$240,000",78.2%,"$67,020",21.8%
102,Summerland,"$301,275","$57,461",19.1%,"$243,814",80.9%
103,Gremlins 2020 Re-release,"$295,000","$295,000",100%,-,-
104,Resistance,"$288,586","$7,464",2.6%,"$281,122",97.4%
105,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
106,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
107,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
108,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
109,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
110,The Trip to Greece,"$233,014","$8,340",3.6%,"$224,674",96.4%
111,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
112,Archive,"$227,171","$139,593",61.4%,"$87,578",38.6%
113,Never Rarely Sometimes Always,"$225,830","$16,565",7.3%,"$209,265",92.7%
114,Fatima,"$205,416",-,-,"$205,416",100%
115,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
116,Tesla,"$178,364","$83,857",47%,"$94,507",53%
117,Tulsa,"$176,051","$176,051",100%,-,-
118,Cruel Peter,"$163,925",-,-,"$163,925",100%
119,The Booksellers,"$156,917","$25,694",16.4%,"$131,223",83.6%
120,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
121,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
122,Incitement,"$140,306","$140,306",100%,-,-
123,We Summon the Darkness,"$140,105","$60,794",43.4%,"$79,311",56.6%
124,Most Wanted,"$138,000","$138,000",100%,-,-
125,Beneath Us,"$137,260","$137,260",100%,-,-
126,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
127,Only,"$125,603",-,-,"$125,603",100%
128,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
129,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
130,Irresistible,"$111,835",-,-,"$111,835",100%
131,Lucky Grandma,"$102,000","$102,000",100%,-,-
132,First Cow,"$101,068","$101,068",100%,-,-
133,The Silencing,"$100,746","$100,746",100%,-,-
134,Antebellum,"$97,209",-,-,"$97,209",100%
135,First Lady,"$93,298","$93,298",100%,-,-
136,Miss Juneteenth,"$92,349","$92,349",100%,-,-
137,Young Ahmed Domestic,"$83,470","$21,291",25.5%,"$62,179",74.5%
138,Shirley,"$75,923",-,-,"$75,923",100%
139,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
140,How to Build a Girl,"$70,632","$70,632",100%,-,-
141,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
142,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
143,A Simple Wedding,"$54,415","$54,415",100%,-,-
144,Miss Fisher and the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
145,VHYes,"$47,037","$47,037",100%,-,-
146,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
147,House of Cardin,"$46,737",-,-,"$46,737",100%
148,Spree,"$43,062","$28,771",66.8%,"$14,291",33.2%
149,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
150,Three Christs,"$36,723","$36,723",100%,-,-
151,Tread,"$36,527","$36,527",100%,-,-
152,Waiting for Anya,"$36,404",-,-,"$36,404",100%
153,Max Winslow and the House of Secrets,"$31,250","$31,250",100%,-,-
154,After Parkland,"$30,444","$30,444",100%,-,-
155,Olympic Dreams,"$29,450","$29,450",100%,-,-
156,Buffaloed,"$29,118","$29,118",100%,-,-
157,Abe,"$28,657",-,-,"$28,657",100%
158,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
159,Jos̩,"$26,563","$26,563",100%,-,-
160,Unsubscribe,"$25,488","$25,488",100%,-,-
161,My Brothers' Crossing,"$25,357","$25,357",100%,-,-
162,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
163,Stage Mother,"$24,736",-,-,"$24,736",100%
164,Heart of Africa,"$24,139","$24,139",100%,-,-
165,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
166,Premature,"$23,071","$23,071",100%,-,-
167,L'Innocente,"$22,549","$22,549",100%,-,-
168,Never Too Late,"$21,915",-,-,"$21,915",100%
169,Lore,"$20,006","$20,006",100%,-,-
170,Sputnik,"$18,646","$18,646",100%,-,-
171,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
172,Made in Hong Kong,"$17,255","$17,255",100%,-,-
173,Advocate,"$16,942","$16,942",100%,-,-
174,The Bay of Silence,"$16,110","$1,941",12%,"$14,169",88%
175,Straight Up,"$16,080","$16,080",100%,-,-
176,American Deep State,"$15,269","$15,269",100%,-,-
177,"I Was at Home, But...","$14,078","$14,078",100%,-,-
178,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,116","$12,116",100%,-,-
179,The War with Grandpa,"$12,039",-,-,"$12,039",100%
180,The Grizzlies,"$11,604","$11,604",100%,-,-
181,Powerbomb,"$11,319","$11,319",100%,-,-
182,Lost in America,"$11,301","$11,301",100%,-,-
183,Centigrade,"$11,279","$11,279",100%,-,-
184,You Go to My Head,"$10,682","$10,682",100%,-,-
185,Foosballers,"$9,966","$9,966",100%,-,-
186,Guest Artist,"$9,573","$9,573",100%,-,-
187,Just One More Kiss,"$9,130","$9,130",100%,-,-
188,Inside the Rain,"$8,140","$8,140",100%,-,-
189,The Wave,"$8,101","$8,101",100%,-,-
190,I AM PATRICK,"$7,880",-,-,"$7,880",100%
191,Valley Girl,"$7,671",-,-,"$7,671",100%
192,What We Found,"$6,976","$6,976",100%,-,-
193,The Other Lamb,"$6,760","$6,024",89.1%,$736,10.9%
194,Human Capital,"$6,596","$6,596",100%,-,-
195,Afterward,"$6,477","$6,477",100%,-,-
196,Still Here,"$5,121","$5,121",100%,-,-
197,Sex and the Future,"$4,815","$4,815",100%,-,-
198,In the Life of Music,"$4,784","$4,784",100%,-,-
199,King's Gambit,"$3,816","$3,816",100%,-,-
200,The Roads Not Taken,"$3,518","$3,518",100%,-,-
201,Moondance,"$2,371","$2,371",100%,-,-
202,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
203,Goldie,"$2,302","$2,302",100%,-,-
204,Gul Makai,"$2,035",-,-,"$2,035",100%
205,The Fox Hunter,"$1,577","$1,577",100%,-,-
206,Hai Tang Hong,"$1,107","$1,107",100%,-,-
207,The Transcendents,"$1,090","$1,090",100%,-,-
208,Greater 2020 Re-release,$527,$527,100%,-,-
209,Spaceship Earth,$201,-,-,$201,100%
210,Savage,$175,-,-,$175,100%
